Link,Price_BYN,Price_USD,Model,City,Year,Type_transmission,Vol_drive,Type_fuel,Km,Type_car
https://cars.av.by/bmw/5-seriya/101376270,22740,8400,"BMW 5 серия E60, E61",Брест,2004,автомат,2.5, бензин,276000,седан
https://cars.av.by/bmw/5-seriya/100871917,41962,15500,"BMW 5 серия E60, E61",Глубокое,2004,автомат,3.0, дизель,305000,седан
https://cars.av.by/bmw/5-seriya/101376135,25583,9450,"BMW 5 серия E60, E61",Лида,2005,автомат,2.5, дизель,389000,универсал
https://cars.av.by/bmw/5-seriya/101376122,28426,10500,"BMW 5 серия E60, E61",Гродно,2007,автомат,2.0, бензин,399000,седан
https://cars.av.by/bmw/5-seriya/101225138,29779,11000,"BMW 5 серия E60, E61",Гомель,2007,автомат,3.0, бензин,290000,седан
https://cars.av.by/bmw/5-seriya/101028483,23011,8500,"BMW 5 серия E60, E61",Минск,2005,автомат,3.0, бензин,359900,универсал
https://cars.av.by/bmw/5-seriya/101337619,29776,10999,"BMW 5 серия E60, E61",Минск,2008,автомат,2.5, бензин,317481,седан
https://cars.av.by/bmw/5-seriya/101375553,37224,13750,"BMW 5 серия E60, E61",Брест,2008,автомат,3.0, дизель,255000,седан
https://cars.av.by/bmw/5-seriya/101311831,29776,10999,"BMW 5 серия E60, E61",Минск,2003,автомат,3.0, дизель,447050,седан
https://cars.av.by/bmw/5-seriya/100949261,28358,10475,"BMW 5 серия E60, E61",Минск,2005,автомат,2.5, дизель,345000,универсал
